Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-06,NYM at CIN,NYM,CIN,5,-115,-137,-110,-105,,-110,+114,,-137,-137,-110,,-115,,,,,-107,-115,-115,-115,,-120,-148,,+110,+110,-120,,-115,,,,
2024-04-06,HOU at TEX,HOU,TEX,5.5,-109,-114,-120,-120,,-115,-122,,-114,-114,-115,,-130,,,,,-114,+100,-106,+100,,-110,-106,,-109,-109,-110,,+100,,,,
2024-04-06,TOR at NYY,TOR,NYY,4,-132,-115,-110,+110,,-110,-132,,-115,-115,-110,,+110,,,,,+106,-120,-120,-130,,-120,+102,,-108,-108,-120,,-140,,,,
2024-04-06,SEA at MIL,SEA,MIL,4.5,-106,-110,-125,-110,,-125,-128,,-118,-118,-125,,-130,,,,,-118,+100,-105,-110,,-105,-102,,-106,-106,-105,,+100,,,,
2024-04-06,CWS at KC,CWS,KC,5,-120,-143,-110,+100,,-110,+108,,-143,-143,-110,,-105,,,,,-105,-115,-115,-120,,-115,-140,,+116,+116,-115,,-125,,,,
2024-04-06,ARI at ATL,ARI,ATL,4.5,-134,-120,-125,-120,,-130,-130,,-125,-125,-130,,-130,,,,,+108,+102,+100,+100,,+100,+100,,+102,+102,+100,,+100,,,,
2024-04-06,TB at COL,TB,COL,6,-117,-120,-120,-120,,-120,+108,,+110,+110,-120,,-125,,,,,-107,-137,-110,+100,,-110,-140,,-137,-137,-110,,-105,,,,
2024-04-06,SD at SF,SD,SF,4,-141,-152,-125,+105,,-125,+100,,-152,-152,-125,,-130,,,,,+114,-125,-105,-125,,-105,-130,,+123,+123,-105,,+100,,,,
2024-04-06,BOS at LAA,BOS,LAA,4,+100,-110,-110,-110,,-115,+108,,+110,+116,-115,,-125,,,,,-124,-143,-115,-110,,-115,-140,,-150,-143,-115,,-105,,,,
2024-04-07,TOR at NYY,TOR,NYY,4.5,-124,-120,-110,-120,,-105,-106,,-110,-110,-105,,-130,,,,,+100,-121,-121,+100,,-125,-122,,-121,-121,-125,,+100,,,,
2024-04-07,BAL at PIT,BAL,PIT,4.5,-113,-118,-120,-120,,-120,-118,,-118,-118,-120,,-130,,,,,-110,+100,-105,+100,,-110,-110,,-105,-105,-110,,+100,,,,
2024-04-07,ARI at ATL,ARI,ATL,5,+106,-110,-110,-110,,-120,+110,,+108,+108,-120,,-110,,,,,-138,-137,-120,-110,,-110,-144,,-137,-137,-110,,-120,,,,
2024-04-07,PHI at WSH,PHI,WSH,4,-114,-105,-105,-105,,-110,+112,,+116,+116,-110,,-105,,,,,-114,-143,-125,-115,,-120,-146,,-143,-143,-120,,-125,,,,
2024-04-07,NYM at CIN,NYM,CIN,4.5,-122,-105,-110,-110,,-110,-114,,-105,-105,-110,,-115,,,,,-103,-110,-115,-110,,-115,-114,,-120,-120,-115,,-115,,,,
2024-04-07,ATH at DET,ATH,DET,4.5,+100,-115,-105,-115,,-105,+104,,+100,+100,-105,,-125,,,,,-122,-124,-124,-105,,-125,-135,,-124,-124,-125,,-105,,,,
