Date,Matchup,Away,Home,Away_Line,Home_Line,Open_Away,Best Odds_Away,Consensus_Away,bet365_Away,DraftKings_Away,BetMGM_Away,FanDuel_Away,theScore Bet_Away,BetRivers_Away,SugarHouse_Away,PartyCasino_Away,Fliff_Away,Caesars_Away,PointsBet_Away,Hard Rock Bet_Away,ESPNBet_Away,Fanatics_Away,Open_Home,Best Odds_Home,Consensus_Home,bet365_Home,DraftKings_Home,BetMGM_Home,FanDuel_Home,theScore Bet_Home,BetRivers_Home,SugarHouse_Home,PartyCasino_Home,Fliff_Home,Caesars_Home,PointsBet_Home,Hard Rock Bet_Home,ESPNBet_Home,Fanatics_Home
2024-04-03,STL at SD,STL,SD,1.5,-1.5,-166,-150,-160,-160,-162,-150,-162,-150,-167,-167,-150,,-160,,,,,+138,+136,+134,+135,+136,+125,+134,+130,+135,+135,+125,,+135,,,,
2024-04-03,PIT at WSH,PIT,WSH,-1.5,1.5,+105,+112,+110,+110,+105,+110,+102,+110,+112,+112,+110,,+110,,,,,-126,-122,-130,-130,-125,-135,-122,-130,-137,-137,-135,,-130,,,,
2024-04-03,COL at CHC,COL,CHC,1.5,-1.5,-156,-115,-125,-120,-125,-115,-132,-125,-132,-132,-115,,-115,,,,,+130,+110,+105,+100,+105,-105,+110,+105,+108,+108,-105,,-105,,,,
2024-04-03,TOR at HOU,TOR,HOU,1.5,-1.5,-164,-145,-150,-150,-148,-150,-154,-150,-155,-155,-150,,-145,,,,,+136,+130,+125,+125,+124,+125,+128,+130,+125,+125,+125,,+122,,,,
2024-04-03,SF at LAD,SF,LAD,1.5,-1.5,-104,+118,+105,+105,+110,-105,+100,+105,-106,-106,-105,,+118,,,,,-115,-114,-125,-125,-130,-115,-120,-125,-114,-114,-115,,-140,,,,
2024-04-04,DET at NYM,DET,NYM,1.5,-1.5,-192,-178,-185,-180,-180,-185,-182,-190,-210,-210,-185,,-178,,,,,+158,+163,+150,+150,+150,+150,+150,+160,+163,+163,+150,,+150,,,,
2024-04-04,PIT at WSH,PIT,WSH,-1.5,1.5,+125,+140,+136,+140,+136,+140,+134,+140,+138,+138,+140,,+130,,,,,-150,-155,-162,-165,-162,-165,-162,-165,-167,-167,-165,,-155,,,,
2024-04-04,CLE at MIN,CLE,MIN,1.5,1.5,-172,-145,-154,-160,-162,-145,-154,-150,-162,-162,-145,,-160,,,,,+142,-350,+128,+135,+136,-350,+128,+130,+132,+132,-350,,+135,,,,
2024-04-04,MIA at STL,MIA,STL,1.5,-1.5,-170,-165,-166,-165,-166,-165,-170,-165,-177,-177,-165,,-165,,,,,+140,+143,+140,+140,+140,+140,+140,+140,+143,+143,+140,,+140,,,,
2024-04-04,DET at NYM,DET,NYM,1.5,-1.5,-215,-190,-200,-205,-192,-190,-200,-200,-215,-215,-190,,-195,,,,,+176,+170,+163,+170,+160,+155,+164,+165,+163,+163,+155,,+162,,,,
2024-04-04,CWS at KC,CWS,KC,1.5,-1.5,-144,-130,-135,-130,-135,-130,-137,-135,-148,-148,-130,,-135,,,,,+120,+120,+114,+110,+114,+105,+114,+115,+120,+120,+105,,+115,,,,
2024-04-05,TOR at NYY,TOR,NYY,1.5,-1.5,-150,-150,-156,-155,-155,-155,-156,-160,-159,-159,-155,,-150,,,,,+126,+135,+130,+130,+130,+130,+130,+135,+130,+130,+130,,+126,,,,
2024-04-05,ATH at DET,ATH,DET,1.5,-1.5,-113,+110,-105,-105,-105,-105,-106,+100,-112,-112,-105,,+110,,,,,-106,-109,-115,-115,-115,-115,-113,-120,-109,-109,-115,,-130,,,,
2024-04-05,LAD at CHC,LAD,CHC,-1.5,1.5,+100,-105,-110,-110,-112,-105,-111,-110,-108,-109,-105,,-110,,,,,-120,-108,-110,-110,-108,-115,-108,-110,-113,-112,-115,,-110,,,,
2024-04-05,TB at COL,TB,COL,-1.5,1.5,-118,-111,-118,-120,-118,-120,-111,-115,-113,-113,-120,,-120,,,,,-102,+100,-102,+100,-102,+100,-108,-105,-108,-108,+100,,+100,,,,
2024-04-05,BAL at PIT,BAL,PIT,-1.5,1.5,+126,+145,+135,+130,+130,+145,+136,+135,+133,+133,+145,,+130,,,,,-152,-155,-160,-155,-155,-175,-164,-160,-162,-162,-175,,-155,,,,
2024-04-05,SD at SF,SD,SF,1.5,-1.5,+172,-196,-196,-220,-205,-200,-196,+170,+163,+163,-200,,-205,,,,,-210,-205,+162,+180,+170,+165,+162,-215,-205,-205,+165,,+170,,,,
2024-04-05,NYM at CIN,NYM,CIN,1.5,-1.5,+158,-180,-185,-180,-185,-185,-188,-180,-205,-205,-185,,-180,,,,,-192,+163,+154,+150,+154,+150,+155,+150,+163,+163,+150,,+152,,,,
2024-04-05,PHI at WSH,PHI,WSH,-1.5,1.5,-108,-120,-122,-120,-130,-120,-128,-120,-122,-122,-120,,-130,,,,,-111,+110,+106,+100,+110,+100,+106,+100,+100,+100,+100,,+110,,,,
