Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-03,SF at LAD,SF,LAD,0.5,+220,-110,-105,,+235,-110,-113,,-120,-120,-110,,-105,,,,,-320,-340,-125,,-340,-115,-113,,-104,-104,-115,,-125,,,,
2024-04-04,DET at NYM,DET,NYM,0.5,-105,+106,+100,,-105,+100,-106,,+106,+105,+100,,+100,,,,,-135,-120,-130,,-135,-130,-120,,-132,-130,-130,,-130,,,,
2024-04-04,PIT at WSH,PIT,WSH,0.5,+215,-105,-105,,+220,-115,-115,,-105,-105,-115,,-115,,,,,-300,-310,-118,,-310,-110,-111,,-118,-118,-110,,-115,,,,
2024-04-04,CLE at MIN,CLE,MIN,0.5,+255,+110,+110,,+275,+110,+106,,+110,+110,+110,,+100,,,,,-370,-400,-140,,-400,-140,-136,,-136,-136,-140,,-130,,,,
2024-04-04,MIA at STL,MIA,STL,0.5,+210,-106,-106,,+240,-110,-118,,-106,-106,-110,,-115,,,,,-295,-350,-117,,-350,-115,-108,,-117,-117,-115,,-115,,,,
2024-04-04,DET at NYM,DET,NYM,0.5,+275,+108,+100,,+100,+105,-115,,+108,+108,+105,,-105,,,,,-400,-111,-130,,-130,-135,-111,,-143,-143,-135,,-125,,,,
2024-04-04,CWS at KC,CWS,KC,0.5,+240,+100,+112,,+240,+100,+112,,-103,-103,+100,,-105,,,,,-350,-350,-142,,-350,-125,-142,,-121,-121,-125,,-125,,,,
2024-04-05,TOR at NYY,TOR,NYY,0.5,-128,-110,-110,,+205,-110,-122,,-122,-122,-110,,-115,,,,,+100,-290,-120,,-290,-120,-104,,-103,-103,-120,,-115,,,,
2024-04-05,ATH at DET,ATH,DET,0.5,+265,+115,+122,,+290,+110,+122,,+115,+115,+110,,+120,,,,,-390,-450,-156,,-450,-140,-156,,-143,-143,-140,,-150,,,,
2024-04-05,LAD at CHC,LAD,CHC,0.5,+105,+115,+102,,,+115,+102,,+102,+106,+115,,+115,,,,,-130,-130,-130,,,-150,-130,,-125,-130,-150,,-145,,,,
